ID,Sales
883,118.11
884,114.74
885,114.55
886,109.41333333333333
887,79.05333333333333
888,78.05
889,77.57333333333334
890,76.36333333333333
891,77.38
892,74.99333333333334
893,74.62666666666667
894,77.48666666666666
895,77.61666666666666
896,110.54666666666667
897,110.64333333333333
898,111.07333333333334
899,111.72333333333333
900,102.67333333333333
901,68.22
902,68.53
903,69.63
904,69.31333333333333
905,71.21
906,71.91666666666667
907,71.33333333333333
908,70.81
909,67.72333333333333
910,112.27666666666667
911,147.99666666666667
912,127.29666666666667
913,110.44
914,109.26333333333334
915,79.36666666666666
916,79.04333333333334
917,78.86666666666666
918,77.76
919,77.21
920,76.1
921,77.12333333333333
922,74.72
923,74.38333333333334
924,108.24
925,109.62666666666667
926,109.70666666666666
927,109.72333333333333
928,110.2
929,67.72333333333333
930,68.68333333333334
931,68.12333333333333
932,68.43333333333334
933,69.31
934,69.02
935,70.91666666666667
936,71.62333333333333
937,71.04
938,109.56
939,113.52666666666667
940,113.11666666666666
941,136.94666666666666
942,134.76333333333332
1825,168.88
1826,164.61
1827,91.03
1828,159.21333333333334
1829,118.02
1830,116.60333333333334
1831,116.08333333333333
1832,116.28666666666666
1833,117.43333333333334
1834,107.07
1835,108.56333333333333
1836,109.95333333333333
1837,109.37333333333333
1838,159.29333333333332
1839,158.24
1840,156.80333333333334
1841,158.26666666666668
1842,152.3
1843,102.39
1844,103.75666666666666
1845,104.10333333333334
1846,104.5
1847,105.64333333333333
1848,104.88
1849,102.82666666666667
1850,101.14666666666666
1851,101.97666666666667
1852,159.93333333333334
1853,204.58333333333334
1854,185.71
1855,165.69
1856,163.81333333333333
1857,117.70333333333333
1858,117.52666666666667
1859,117.99
1860,116.7
1861,115.82666666666667
1862,115.93333333333334
1863,117.43333333333334
1864,107.35666666666667
1865,107.90333333333334
1866,157.43
1867,158.78333333333333
1868,158.26666666666668
1869,156.51
1870,154.97666666666666
1871,98.30666666666667
1872,101.67333333333333
1873,102.15333333333334
1874,103.83333333333333
1875,103.78666666666666
1876,104.05
1877,104.92333333333333
1878,104.24333333333334
1879,102.21
1880,156.06666666666666
1881,157.61
1882,160.29666666666665
1883,180.35333333333332
1884,178.84
2767,234.72666666666666
2768,222.22333333333333
2769,210.55666666666667
2770,186.44666666666666
2771,153.36
2772,146.88333333333333
2773,144.54666666666665
2774,144.2
2775,145.17333333333335
2776,143.93333333333334
2777,144.18
2778,146.09
2779,145.67
2780,190.60333333333332
2781,191.7
2782,194.05333333333334
2783,198.83
2784,183.6
2785,134.30666666666667
2786,137.40666666666667
2787,137.53333333333333
2788,137.81666666666666
2789,139.78
2790,139.79333333333332
2791,139.67
2792,138.34333333333333
2793,137.85
2794,190.41666666666666
2795,233.77666666666667
2796,234.25666666666666
2797,221.86333333333334
2798,217.81666666666666
2799,154.13
2800,152.56333333333333
2801,153.25666666666666
2802,148.01
2803,145.2
2804,144.80666666666667
2805,145.73
2806,145.03333333333333
2807,145.11
2808,184.88
2809,186.22666666666666
2810,185.21
2811,186.08333333333334
2812,187.2
2813,135.89333333333335
2814,136.11666666666667
2815,136.11666666666667
2816,139.07333333333332
2817,139.03666666666666
2818,139.05666666666667
2819,140.97333333333333
2820,141.30666666666667
2821,140.48666666666668
2822,189.4
2823,201.89666666666668
2824,198.30666666666667
2825,234.02333333333334
2826,234.20333333333335
3709,173.17
3710,166.47333333333333
3711,158.2
3712,133.55666666666667
3713,98.45
3714,99.03333333333333
3715,98.91666666666667
3716,97.91
3717,98.87
3718,96.05666666666667
3719,95.64666666666666
3720,95.88
3721,94.25333333333333
3722,131.60666666666665
3723,135.81666666666666
3724,132.59666666666666
3725,135.15666666666667
3726,127.58
3727,93.96666666666667
3728,94.53333333333333
3729,95.16
3730,95.33666666666667
3731,96.22666666666667
3732,95.58333333333333
3733,97.62333333333333
3734,97.48
3735,98.18666666666667
3736,140.93666666666667
3737,185.63666666666666
3738,182.27333333333334
3739,165.52
3740,162.56333333333333
3741,98.58333333333333
3742,98.47666666666667
3743,98.45666666666666
3744,99.04
3745,98.92
3746,97.91333333333333
3747,98.87333333333333
3748,95.98333333333333
3749,95.64666666666666
3750,136.04666666666665
3751,133.29
3752,131.78
3753,135.67333333333335
3754,132.59
3755,92.55666666666667
3756,93.81333333333333
3757,93.96666666666667
3758,94.53333333333333
3759,95.16
3760,95.33666666666667
3761,96.22666666666667
3762,95.58333333333333
3763,97.62333333333333
3764,151.17666666666668
3765,145.15666666666667
3766,142.86666666666667
3767,167.65666666666667
3768,166.74333333333334
4651,186.10333333333332
4652,179.23666666666668
4653,118.03666666666666
4654,149.93666666666667
4655,121.08
4656,118.12333333333333
4657,117.87333333333333
4658,118.79333333333334
4659,118.85666666666667
4660,118.24333333333334
4661,118.35666666666667
4662,120.19
4663,120.19
4664,151.66333333333333
4665,153.24666666666667
4666,152.55
4667,154.98333333333332
4668,147.99666666666667
4669,110.59666666666666
