ID,Sales
883,120.115
884,116.5725
885,116.875
886,110.085
887,79.8775
888,77.8425
889,78.03
890,76.85
891,77.805
892,74.1075
893,73.6275
894,76.325
895,76.2425
896,111.545
897,111.33
898,111.85
899,113.5525
900,102.8775
901,67.6025
902,67.7975
903,68.455
904,69.555
905,71.305
906,71.765
907,71.2225
908,70.56
909,68.2775
910,110.775
911,142.285
912,126.885
913,110.805
914,110.4575
915,80.54
916,80.3625
917,79.95
918,77.8925
919,78.03
920,76.85
921,77.805
922,74.0575
923,73.6275
924,107.8925
925,109.2075
926,109.7275
927,109.305
928,109.4
929,67.045
930,68.27
931,67.6025
932,67.7975
933,68.455
934,69.555
935,71.305
936,71.765
937,71.2225
938,107.2
939,110.9975
940,110.9175
941,135.685
942,135.075
1825,169.7525
1826,165.6025
1827,89.88
1828,157.2875
1829,117.215
1830,116.11
1831,114.8825
1832,114.2325
1833,116.0425
1834,106.855
1835,109.65
1836,111.9425
1837,109.905
1838,158.6175
1839,158.095
1840,156.825
1841,158.2925
1842,151.31
1843,103.4475
1844,104.4575
1845,105.0025
1846,105.1025
1847,106.2875
1848,106.2575
1849,104.36
1850,102.0425
1851,101.295
1852,157.5475
1853,202.075
1854,184.0175
1855,166.785
1856,164.2325
1857,116.0525
1858,115.94
1859,116.7525
1860,115.805
1861,114.26
1862,113.595
1863,115.4075
1864,106.2975
1865,108.0125
1866,156.1725
1867,157.9625
1868,157.5175
1869,156.61
1870,155.1
1871,99.105
1872,102.095
1873,102.9875
1874,104.0425
1875,104.2525
1876,104.3025
1877,105.3725
1878,105.145
1879,103.4725
1880,155.8875
1881,156.9725
1882,157.6275
1883,176.8
1884,175.14
2767,234.0275
2768,219.685
2769,208.255
2770,184.345
2771,149.4825
2772,144.945
2773,142.3175
2774,142.8725
2775,143.86
2776,142.4175
2777,142.5575
2778,144.635
2779,145.0175
2780,191.0125
2781,191.1925
2782,192.6025
2783,196.3575
2784,182.7475
2785,133.8975
2786,135.23
2787,135.8225
2788,136.015
2789,138.98
2790,139.2225
2791,139.575
2792,137.1025
2793,136.6825
2794,191.5925
2795,236.2025
2796,236.4525
2797,220.69
2798,215.9325
2799,152.66
2800,151.74
2801,149.6675
2802,145.6425
2803,143.2525
2804,144.0325
2805,144.7875
2806,143.4725
2807,143.685
2808,190.49
2809,191.4275
2810,189.405
2811,188.085
2812,189.3525
2813,134.9475
2814,135.1825
2815,134.97
2816,136.765
2817,137.0675
2818,136.9575
2819,139.96
2820,140.415
2821,140.24
2822,193.835
2823,206.0575
2824,202.05
2825,235.415
2826,235.755
3709,174.2325
3710,164.4825
3711,155.8075
3712,133.9075
3713,97.6625
3714,98.235
3715,97.715
3716,96.5675
3717,97.035
3718,94.03
3719,93.6575
3720,93.5375
3721,91.96
3722,132.4675
3723,136.26
3724,133.18
3725,134.9425
3726,128.4875
3727,92.0275
3728,92.835
3729,93.92
3730,93.9925
3731,95.8625
3732,95.0975
3733,97.3525
3734,96.6875
3735,96.7575
3736,142.3325
3737,185.5825
3738,183.1725
3739,165.685
3740,162.3975
3741,97.685
3742,97.8575
3743,97.6625
3744,98.235
3745,97.6525
3746,96.6225
3747,97.0825
3748,94.0775
3749,93.5975
3750,135.46
3751,134.09
3752,132.3475
3753,136.1075
3754,132.9325
3755,90.87
3756,92.0775
3757,92.0275
3758,92.835
3759,93.8625
3760,93.9225
3761,95.805
3762,95.095
3763,97.33
3764,148.9475
3765,144.2925
3766,143.94
3767,169.55
3768,168.9875
4651,190.3175
4652,183.7475
4653,116.12
4654,151.6025
4655,123.18
4656,120.11
4657,119.9825
4658,121.3475
4659,121.415
4660,120.255
4661,120.3075
4662,121.93
4663,121.93
4664,153.095
4665,154.3025
4666,153.6175
4667,156.455
4668,148.88
4669,113.2375
4670,114.475
4671,114.475
4672,114.4675
4673,117.705
4674,117.885
4675,118.6925
4676,110.4525
4677,110.7575
4678,143.605
4679,196.2425
4680,197.4075
4681,181.18
4682,182.1875
4683,123.2925
4684,123.2925
4685,123.18
4686,120.11
4687,119.9825
4688,121.3475
4689,121.415
4690,120.255
4691,120.3075
4692,158.03
4693,155.09
4694,152.95
4695,153.8075
4696,153.13
4697,113.1775
4698,113.1775
4699,113.2375
4700,114.475
4701,114.475
4702,114.4675
4703,117.705
4704,117.885
4705,118.6925
4706,147.95
4707,145.495
4708,143.5725
4709,195.7475
4710,197.0575
5593,136.6225
5594,133.6025
5595,134.145
5596,117.6675
5597,100.145
5598,99.6375
5599,99.24
5600,98.9925
5601,99.125
5602,98.5025
5603,98.7025
5604,98.885
5605,98.75
